Name,Date of birth,Date of death,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Collector,Specialty Author,Citation as Author,Citation as Collector,Member of teams/groups,Holdings,Collections in,Collector Teams:,URL,Geography Author,Specialty Collector,Author in,Author Teams:,Start Date,End Date,First date collected,Geography Determiner,Specialty Determiner,First date flourished,Last date collected,Citation as Determiner,Last date flourished,Specialty,Vernacular name,First date received
"Broadway, Walter Elias",1863,1935,"[author note: orchids] [collector note: Fr. Guiana: GH, NY, US; W. Indies (1894-1913): A, AMES, B, BAF, BH, BKL, BM, BP, BR, C, E, F, G, GH, K, L, LA, LCU, LE, M, MASS, MICH, MO, NY, P, PH, POM, S, TRIN, U, UC, UPS, US; Venezuela: GH, US]",119319 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0b658642-945d-453f-9045-beb6fba6a9c3,"Broadway, W. E.; Walter Elias Broadway",Broadway,Broadway,W. E. Broadway,"Broadway, Walter Elias","French Guiana, Grenada, Trinidad and Tobago, Venezuela",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors A-D,,Search for specimens collected by W. E. Broadway,"[no date] (17),  1888 (2),  1889 (3),  1890 (6),  1892 (1),  1893 (1),  1895 (1),  1896 (3),  1897 (1),  1898 (2),  1903 (2),  1904 (5),  1905 (44),  1906 (117),  1907 (58),  1908 (130),  1909 (17),  1910 (19),  1911 (33),  1912 (8),  1913 (55),  1914 (10),  1915 (3),  1916 (2),  1918 (27),  1919 (6),  1920 (14),  1921 (61),  1922 (29),  1923 (80),  1924 (3),  1925 (15),  1926 (19),  1927 (4),  1928 (4),  1929 (6),  1930 (16),  1931 (35),  1932 (23),  1933 (28),  1934 (10),  1938 (1),  1982 (1),  2008 (1)","W. E. Broadway & G. H. Sworder  W. E. Broadway & A. Hombersley  W. E. Broadway & D. W. Alexander  N. L. Britton, W. E. Broadway & T. E. Hazen  N. L. Britton & W. E. Broadway",,,Phanerogams; Pteridophytes,,,,,,,,,,,,,,
"Brooks, R. L.",,,"[author note: Deputy Conservator of Forests on Trinidad] [collector note: (col. ± 1932): NY, TRIN]",129140 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/527a58e3-6b18-4f83-8070-4406b3f66c61,R. L. Brooks,R. L. Brooks,R. L. Brooks,R. L. Brooks,"Brooks, R. L.",Trinidad and Tobago,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Kew Bulletin. Kew, England",Index Herbariorum - Collectors A-D,,,,,,Trinidad and Tobago,,,,,,,,,1933,,,,,,
"Cheesman, Ernest Entwistle",1898,,"[collector note: col. 1925-1937: AMES, BM, K (3000); Collection: Vanilla mexicana Miller (AMES)] Example of Names Publsihed: Doliocarpus spraguei Cheesman, Fl. Trinidad & Tobago 1: 473. 1947; Ensete proboscideum (Oliv.) Cheesman, Kew Bull. 1947(2): 102. 1948",133779 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/c3839434-a580-4a45-b294-191232f801d3,Ernest Entwistle Cheesman; E. E. C.,Cheesman,Cheesman,E. E. Cheesman,"Cheesman, Ernest Entwistle",Trinidad and Tobago,Spermatophytes,"Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D; Lankesteriana 9(3): 383. 2010,,Search for specimens collected by E. E. Cheesman,"1937 (2),  1938 (3)",G. W. F. Row & E. E. Cheesman,,,Phanerogams,,,,,,,,,,,,,,
"Chizzola, M.",,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/276a45f6-3cc8-4ae6-88f5-8db68dd1b10e,,,,M. Chizzola,"Chizzola, M.",Trinidad and Tobago,,,,,Search for specimens collected by M. Chizzola,1923 (1),,,,Spermatophytes,,,1923,,,,,,,,,,,
"Clark, John Robert",1974,,"Gesneriaceae systematics and biogeography, particularly of Cyrtandra. [collector note: SEL]",191303 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/aaf5fee2-b261-4068-9a90-e786dd630755,John Robert Clark,J. R. Clark,J. R. Clark,J. R. Clark,"Clark, John Robert","Costa Rica, Fiji, Samoa, Trinidad and Tobago",Spermatophytes,Selbyana,Selbyana,,,,"B. K. Holst, J. R. Clark, M. A. Blanco, S. Dalström, N. Edmondson, G. Gerlach, W. E. Higgins, J. M. Heaney, J. Katzenstein, H. L. P. Montealegre & F. Pupulin",,United States of America,Phanerogams,,,,,,,,,,,,,,
"Copeland, Ralph",1837,1905,[author note: Herbarium and types: K (Trinidad)] [collector note: K (r. 1884)],148206 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/c1265947-d4d6-4347-9863-1f9cceae2d40,Ralph Copeland,R. Copeland,R. Copel.,R. Copeland,"Copeland, Ralph",Trinidad and Tobago,Spermatophytes,"Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,,,,,,,,,,,,,,,,,,,,
"Crueger, Hermann",1818,1864,"German pharmacist and botanist, born in Hamburg. Emigraed to Trinidad in 1841, where he worked as a pharmacist. From 1857 until his death he was employed as a government botanist and director of the botanic gardens Port-of-Spain. [author note: Herbarium and types: TRIN; additional material at B, BM, F, GOET, K, KIEL, NY, US, WB] [collector note: Jamaica: B, F, K, NY, TRIN, US; Trinidad: (1857-1863): B (450 Ph., Bryo.), BM (Musci), GOET, K, KIEL, NY, TRIN, US, WB; Venezuela: K, NY, TRIN]",129303 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f50e5fd0-e1b0-403f-8382-4ef11b6f49df,"Hermann Crueger; Hermann Crüger; Crüger, Hermann",Crueger,Crueg.,H. Crüger,"Crueger, Hermann","Cuba, Jamaica, Trinidad and Tobago, Venezuela",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D; biographic information: https://plants.jstor.org/stable/10.5555/al.ap.person.bm000010779 accessed 2022-07-12,,Search for specimens collected by H. Crüger,"[no date] (6),  1847 (1),  1848 (2),  1858 (1),  1866 (1),  1950 (1)",H. Crüger & E. Bradford,,Germany,Bryophytes; Phanerogams,,,,,,,,,,,,,,
"Ewan, Joseph Andorfer",1909,1999,"[author note: Herbarium and types: MO, NO: botanical history and bibliography] [collector note: A, BH, DPU, DS, DUKE, G, GH, ILL, JEPS, K, LAM, LCU, MO, NO (orig.), NY, OKLA, PENN, PH, POM, PRE, RSA, S, UC, US]",102538 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/95a50e58-c127-481e-af44-351e4400e180,Joseph Andorfer Ewan,Ewan,Ewan,J. A. Ewan,"Ewan, Joseph Andorfer","Colombia, Martinique, Trinidad and Tobago, United States of America, Venezuela",Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,Search for specimens collected by J. A. Ewan,"[no date] (2),  1927 (1),  1929 (2),  1930 (2),  1931 (14),  1932 (4),  1933 (5),  1934 (58),  1935 (9),  1936 (56),  1937 (43),  1938 (32),  1939 (13),  1940 (9),  1941 (39),  1942 (24),  1943 (23),  1944 (18),  1945 (10),  1946 (4),  1947 (1),  1948 (13),  1949 (51),  1950 (6),  1951 (2),  1952 (6),  1953 (3),  1955 (1),  1956 (35),  1957 (41),  1958 (12),  1959 (9),  1960 (28),  1961 (17),  1962 (14),  1963 (5)","J. A. Ewan & A. N. D. Ewan  F. R. Fosberg & J. A. Ewan  F. W. Pennell, J. A. Ewan & Raymond L. Schaeffer  Carl Hedin & J. A. Ewan  C. C. Epling & J. A. Ewan  N. B. McNiel & J. A. Ewan",,United States of America,Phanerogams; Pteridophytes,"Introd. Fasc. Repr. Frederick Pursh, Fl. Amer. Sept.",,,,,,,,,,,,,
"Faull, Joseph Horace",1876,1961,"[author note: Herbarium and types: A, FH; additional material at BPI, TRTC, US] [collector note: Guatemala (1936-1937), Mexico (1937-1939). FH (orig.). Canada (1905-1930): NY, OTB, TRT, TRTC. Trinidad: NY]",112731 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f2bfb3ac-3af8-4041-9d7d-367fed14e016,Joseph Horace Faull,Faull,Faull,J. H. Faull,"Faull, Joseph Horace","Canada, Guatemala, Mexico, Trinidad and Tobago, United States of America",Fungi and Lichens; Pteridophytes; Spermatophytes,Authors of Plant Names. 1992: J. Arnold Arbor. 43-223. 1962,Index Herbariorum - Collectors E-H; Pl. Collectors N. Mexico. 1979,,Search for specimens collected by J. H. Faull,"[no date] (24),  1901 (1),  1902 (5),  1903 (3),  1904 (2),  1905 (12),  1906 (17),  1907 (8),  1908 (7),  1909 (2),  1910 (2),  1911 (65),  1912 (31),  1913 (6),  1914 (316),  1915 (88),  1916 (140),  1917 (70),  1918 (270),  1919 (114),  1920 (28),  1921 (67),  1922 (55),  1923 (59),  1924 (32),  1925 (12),  1926 (15),  1927 (16),  1928 (55),  1929 (17),  1930 (18),  1931 (24),  1932 (10),  1933 (14),  1934 (60),  1935 (4),  1936 (13),  1937 (18),  1938 (8),  1939 (9),  1942 (1),  1943 (6),  1945 (1),  1955 (1)",J. H. Faull & G. D. Darker  R. E. Stone & J. H. Faull,,"Canada, United States of America",Fungi; Phanerogams,,,,,,,,,,,,,,
"Franck, Alan R.",,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e037b25b-ba92-47d2-8e99-32f3c3406baf,"Franck, A. R.",,,A. R. Franck,"Franck, Alan R.",,,,,,Search for specimens collected by A. R. Franck,2017 (1),,,,,,,,,2017,Trinidad and Tobago,Spermatophytes,,,,,,,
"Freeman, William George",1874,,"[collector note: BM, MO; see Bovell, J.R., see Britton, N. L.]",100992 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/8d68b53a-edd6-447d-ae40-42c503272b56,"Freeman, W. G.; William George Freeman",W. G. Freeman,W. G. Freeman,W. G. Freeman,"Freeman, William George",Nigeria,Spermatophytes,Mem. Dept. Agric. Trinidad & Tobago 4: 1928,Index Herbariorum - Collectors E-H,,Search for specimens collected by W. G. Freeman,"1915 (3),  1920 (1),  1921 (1),  1923 (1),  1924 (2)","N. L. Britton, T. E. Hazen & W. G. Freeman  N. L. Britton, W. G. Freeman & L. H. Bailey  N. L. Britton, W. G. Freeman & W. Nowell  R. O. Williams & W. G. Freeman  J. R. Bovell & W. G. Freeman  W. G. Freeman & N. L. Britton  N. L. Britton, W. G. Freeman & (Sir) F. Watts  N. L. Britton & W. G. Freeman  W. G. Freeman & R. O. Williams  N. L. Britton, E. G. Britton & W. G. Freeman",,Trinidad and Tobago,,Timbers Brit. Guiana,,,,,,,,,,,,,
"Graham, Edward Harrison",1902,1966,"[author note: Herbarium and types: CM] [collector note: Arizona, Colorado, Pennsylvania, Utah: CM]",131701 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/039ca07a-e298-4356-b9ee-3fb0f00448c1,Edward Harrison Graham,E. H. Graham,E. H. Graham,E. H. Graham,"Graham, Edward Harrison","Guyana, Trinidad and Tobago, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors E-H; Ann. Carnegie Mus. 22: 20. 1934 (with map),,Search for specimens collected by E. H. Graham,"1912 (1),  1925 (1),  1928 (6),  1931 (94),  1933 (190),  1934 (1),  1935 (310)",,,United States of America,Phanerogams,,,,,,,,,,,,,,
"Hitchcock, Albert Spear",1865,1935,"[author note: Herbarium and types: US (grass herb.), older collection partly at MO and NY; duplicates in many herbaria. Exsiccatae 'American Grasses' at BM, C, K, L, P, US, W] [collector note: BM, C, F, GH, IAN, K, L, MO, NY, P, US (grass herb.), W. Older collections partly at MO, NY; collected fungi with B. D. Halsted in 1887: Iowa: FH]",100744 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/83c6d552-a738-4221-a071-f6bcce80ef15,Albert Spear Hitchcock; né Jennings,Hitchcock,Hitchc.,A. S. Hitchcock,"Hitchcock, Albert Spear","Ecuador, Guatemala, Guyana, Nicaragua, Panama, Peru, Trinidad and Tobago, United States of America",Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors E-H,,Search for specimens collected by A. S. Hitchcock,"[no date] (10),  1876 (1),  1886 (1),  1887 (2),  1888 (2),  1889 (7),  1890 (2),  1891 (1),  1892 (2),  1893 (1),  1894 (1),  1895 (168),  1896 (138),  1897 (78),  1898 (1),  1900 (98),  1901 (5),  1902 (3),  1903 (3),  1904 (1),  1905 (13),  1906 (4),  1908 (3),  1910 (12),  1911 (1),  1912 (5),  1913 (27),  1914 (5),  1915 (35),  1916 (4),  1917 (50),  1919 (71),  1920 (52),  1922 (1),  1923 (194),  1924 (1),  1976 (1),  1982 (1),  2015 (1)",A. S. Hitchcock & A. Chase  R. S. Kellogg & A. S. Hitchcock  A. Chase & A. S. Hitchcock  A. S. Hitchcock & M. A. Chase  Hitchcock & Ekman  B. D. Halsted & A. S. Hitchcock,,United States of America,Phanerogams; Fungi,Meth. Syst. Bot.; Man. Grasses U.S.; Man. Grasses U.S. (ed. 2); Key Spring Fl. Manhattan; Man. Grasses W. Ind.; Grasses C. Amer.; Gen. Grasses U.S.; Text-book Grasses; Key Manhattan Pl.; Cat. Antoph. Ames,Hitchcock & Chase  Hitchcock & Ekman  Hitchc. & Maguire,,,,,,,,,,,,
"Howard, Richard Alden",1917,2003,"Obituary, Biogr., & Photogr. in: J. A. Warnement & C. E. Wood, Harvard Pap. Bot. 9(1): 239-253. 2004; Rhodora 106: 178-184. 2004. [author note: A, NY; flora of the West Indies; Icacinaceae, Polygonaceae (Coccoloba)] [collector note: Lesser Antilles. A (orig.), NY]",102117 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/74da7683-8d71-4556-859e-add3151a42e2,Richard Alden Howard,R. A. Howard,R. A. Howard,R. A. Howard,"Howard, Richard Alden","Bahamas, Cuba, Dominican Republic, Jamaica, Trinidad and Tobago, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors E-H,,Search for specimens collected by R. A. Howard,"[no date] (5),  1940 (9),  1941 (185),  1943 (3),  1945 (13),  1946 (15),  1950 (350),  1952 (12),  1954 (7),  1958 (1),  1959 (1),  1960 (1),  1961 (5),  1962 (1),  1963 (1),  1964 (1),  1966 (13),  1967 (201),  1968 (6),  1969 (41),  1970 (1),  1971 (2),  1973 (15),  1977 (96),  1978 (51),  1979 (6),  1980 (4),  1981 (1),  1982 (2),  1984 (1),  1985 (15),  1986 (181),  1991 (9)","R. A. Howard, G. R. Proctor & B. L. Wagenknecht  R. A. Howard & B. R. Howard  R. A. Howard & L. I. Nevling  R. A. Howard & E. A. Kellogg  R. A. Howard, W. R. Briggs, P. Kamb, I. Lane & R. Ritland  R. A. Howard, G. R. Proctor & W. T. Stearn  R. A. Howard & G. Taylor  R. A. Howard & G. R. Proctor  R. A. Howard & E. S. Howard  R. A. Howard & W. R. Briggs  R. A. Howard & Proctor  R. A. Howard & E. A. Kellogg  R. A. Howard, E. A. Kellogg, V. Slane, P. F. Stevens & L. L. Jean-Pierre  T. Zanoni, R.A. Howard, E.S. Howard  R. A. Howard & R. E. Weaver  W. H. Hodge, R. A. Howard & R. K. Godfrey  R. A. Howard, G. R. Cooley & R. E. Weaver  R. A. Howard & Henry Draper  R. C. Rollins & R. A. Howard  R. A. Howard & B. J. Howard  R. A. Howard, E. S. Howard & P. G. Howard  R. A. Howard, E. A. Kellogg & L. Jean-Pierre  R. C. Collins & R. A. Howard  R. A. Howard & B. L. Wagenknecht  R. A. Howard, B. J. Howard & B. R. Howard  R. K. Wadsworth & R. A. Howard  R. A. Howard, E. Barrett, H. Cohen, E. S. Howard, H. N. Putnam, D. Seligson, D. Turner, A. Wardle & C. F. Weber  T. A. Zanoni, R. A. Howard & E. S. Howard  W. T. Stearn, R. A. Howard & G. R. Proctor  Bro. J. J. S. León, Bro. Clemente, & R. A. Howard  R. A. Howard, E. A. Kellogg, V. Slane & L. Jean-Pierre  R. A. Howard & C. E. Wood",,United States of America,Phanerogams,Fl. Lesser Antilles; Charles Wright Cuba,R. A. Howard & W. R. Briggs  R. A. Howard & Proctor  R. A. Howard & E. A. Kellogg,,,,,,,,,,,,
J. Dannouse,,,[coll note: West Indies. Trinidad. Bromeliaceae. Tillandsia utriculata. (GH). 1906.],,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/253aa58b-669a-4e90-8f69-2dceca033f1a,"Dannouse, J.",,,J. Dannouse,,Trinidad and Tobago,,,Specimen (GH) Tillandsia utriculata,,Search for specimens collected by J. Dannouse,1906 (1),,,,Spermatophytes,,,,,1906,,,,,,,,,
"Jenman, George Samuel",1845,1902,"[author note: Herbarium and types: NY; additional large set at K; duplicates widely distributed] [collector note: BRG, CGE, COLU, DR, E, F, K (orig.?), KSC, L, LE, MICH, MO, NY (orig. pterid.), OXF, P, PH, U, UC, US, W,]",100088 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/991c8829-0c7c-4caa-8c90-43028065b37f,George Samuel Jenman,Jenman,Jenman,G. S. Jenman,"Jenman, George Samuel","Cuba, Guyana, Jamaica, Sri Lanka, Trinidad and Tobago",Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors I-L,,Search for specimens collected by G. S. Jenman,"[no date] (6),  1874 (1),  1881 (1),  1883 (1),  1884 (1),  1886 (2),  1887 (1),  1888 (1),  1889 (1),  1896 (1),  1898 (2)",,,"Guyana, Jamaica",Phanerogams; Pteridophytes,Ferns Brit. W. Ind.,,,,,,,,,,,,,
"Jermy, A. C.",1932,,[collector note: BM] [Collector note: Papua New Guinea: A],131242 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b6facfc7-21ef-47a9-a411-8edc1e8ddf20,"Jermy, A. Clive; Jermy, Anthony Clive",,,A. C. Jermy,"Jermy, A. C.","Papua New Guinea, Trinidad and Tobago",,,"Index Herbariorum, ed. 8; Specimen (A): Zingiberaceae",,Search for specimens collected by A. C. Jermy,"1964 (26),  1965 (17),  1969 (4),  1970 (12),  1976 (1),  1978 (6)","A. C. Jermy & T. G. Walker  I. Tittley & A. C. Jermy  A. C. Jermy, T. C. Walker & M. J. S. Sands  G. C. G. Argent, B. J. Coppins & A. C. Jermy  A. C. Jermy & J. M. Rankin  M. J. S. Sands, A. C. Jermy & A. Eddy  G. C. G. Argent, B. J. Coppins, A. C. Jermy & P. P. K. Chai",,,Spermatophytes,,"G. C. G. Argent, B. J. Coppins, A. C. Jermy & P. P. K. Chai",,,,,,,,,,,,
"Johnson, David Mark",1955,,"[author note: OWU: Marsileaceae, Annonaceae, floristics; HERB.; BKF, DSM, HXC, MICH, NY, OWU] [collector note: BKF, DSM, HXC, MICH, NY, OWU]",143619 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0e009bc9-feac-4313-b868-ba7603886bd3,David Mark Johnson,D. M. Johnson,D. M. Johnson,D. M. Johnson,"Johnson, David Mark","Argentina, Brazil, Costa Rica, Cuba, Guatemala, Mexico, Panama, Paraguay, Peru, Tanzania, Trinidad and Tobago, United States of America, Venezuela",Pteridophytes; Spermatophytes,"Contributions from the University of Michigan Herbarium. Ann Arbor, MI; pers. comm.","Index Herbariorum, ed. 8; pers. comm.",,Search for specimens collected by D. M. Johnson,1982 (1),D. M. Johnson & N. A. Murray  T. Chaowasku & D. M. Johnson  D. M. Johnson & P. Chalermglin  J. Munzinger & D. M. Johnson,,United States of America,Phanerogams,,D. M. Johnson & N. A. Murray  Chaowasku & D. M. Johnson  D. M. Johnson & Chalermglin  I. M. Turner & D. M. Johnson  Munzinger & David Mark Johnson,,,,,,,,,,,,
"Linder, David Hunt",1899,1946,"[author note: Herbarium and types: FH] [collector note: Curator of Fungi, FH; A, B, BR, K, IAC, GH, NSPM, NY, S, LE, MO, P, BPI; Vermont: FH (lichens); residence: Wakefield, Massachusetts]",102467 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/36a93bf1-fad8-4737-aeec-0fe7b1a596be,David Hunt Linder,Linder,Linder,D. H. Linder,"Linder, David Hunt","Canada, Congo, Guyana, Liberia, Trinidad and Tobago, United States of America",Fungi and Lichens; Spermatophytes,"Mycotaxon; International Journal Designed to Expedite Publication on Research, Taxonomy, and on Nomenclature of Fungi and Lichens. Ithaca, NY; Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors I-L,,Search for specimens collected by D. H. Linder,"[no date] (22),  1911 (1),  1914 (1),  1920 (26),  1921 (11),  1922 (68),  1923 (95),  1924 (80),  1925 (192),  1926 (888),  1927 (273),  1928 (39),  1929 (40),  1930 (8),  1931 (20),  1932 (53),  1933 (108),  1934 (62),  1935 (86),  1936 (356),  1937 (35),  1938 (91),  1939 (109),  1940 (88),  1941 (22),  1942 (18),  1943 (13),  1944 (20),  1945 (17),  1946 (2),  1983 (1),  1991 (1)","M. L. Fernald, B. H. Long & D. H. Linder  M. L. Fernald & D. H. Linder  M. L. Fernald, C. H. Bissell, A. S. Pease, B. H. Long & D. H. Linder  C. H. Bissell, A. S. Pease, B. H. Long & D. H. Linder  B. H. Long & D. H. Linder  R. Thaxter & D. H. Linder  D. H. Linder & G. D. Darker  D. P. Rogers, D. H. Linder & G. D. Darker  D. H. Linder & A. G. Kevorkian  C. W. Dodge & D. H. Linder  D. H. Linder & W. L. White  D. H. Linder & R. Singer  R. F. Smart & D. H. Linder  E. A. Linder, D. H. Linder & R. F. Smart  D. H. Linder & R. F. Smart  R. F. Cain & D. H. Linder  D. H. Linder & P. L. Rusden  D. H. Linder, G. D. Darker, & D. P. Rogers  D. H. Linder & E. V. Seeler  G. D. Darker & D. H. Linder  D. H. Linder, E. V. Seeler & W. L. White  D. H. Linder & H. R. Sweet  Ivan M. Johnston & D. H. Linder  D. H. Linder, H. R. Sweet & P. L. Rusden  D. H. Linder & I. M. Johnston  R. J. Eaton; N. C. Fassett; J. R. Jack; D. H. Linder & D. C. Peattie  S. F. Cook & D. H. Linder  N. C. Fassett; D. H. Linder & D. C. Peattie  D. H. Linder & A. E. Lownes  D. H. Linder & C. W. Dodge  I. M. Johnston, D. H. Linder & H. R. Sweet  S. Cook; R. J. Eaton; N. C. Fassett; D. H. Linder & C. Peattie  S. F. Cook; N. C. Fassett; R. J. Eaton; D. H. Linder & D. C. Peattie  J. P. Bill; S. F. Cook; F. W. Grigg & D. H. Linder  D. H. Linder, P. L. Rusden & H. R. Sweet  A. E. Lownes & D. H. Linder  C. D. Chupp & D. H. Linder  R. C. Bean, Don. White & D. H. Linder  N. C. Fassett, R. J. Eaton, D. H. Linder, D. C. Peatiie & S. F. Cook  D. H. Linder & B. W. Parker  D. H. Linder, R. Singer & A. P. D. Piguet  C. H. Bissell & D. H. Linder  M. L. Fernald, C. H. Bissell, C. B. Graves, B. H. Long & D. H. Linder  C. H. Bissell, R. C. Bean, Don. White & D. H. Linder  C. H. Bissell, A. S. Pease & D. H. Linder  M. L. Fernald, C. B. Graves, B. H. Long & D. H. Linder  C. B. Graves, B. H. Long & D. H. Linder  C. B. Graves & D. H. Linder  D. H. Linder & N. F. Conant  H. S. Jackson & D. H. Linder  B. W. Parker & D. H. Linder  M. L. Fernald, C. H. Bissell & D. H. Linder  A. S. Pease & D. H. Linder  H. R. Sweet, D. H. Linder & G. D. Darker  I. M. Johnston, H. R. Sweet, P. L. Rusden, D. H. Linder & J. T. Lawlor  I. M. Johnston, H. R. Sweet, J. T. Lawlor & D. H. Linder",,United States of America,Fungi; Phanerogams; Lichens,"Cryptog. Farlow Herb., Reliq. Farlow.","R. F. Smart & D. H. Linder  E. A. Linder, D. H. Linder & R. F. Smart  D. H. Linder & R. F. Smart  R. F. Cain & D. H. Linder  D. H. Linder & P. L. Rusden  D. H. Linder, G. D. Darker, & D. P. Rogers  D. H. Linder & E. V. Seeler  G. D. Darker & D. H. Linder  D. H. Linder, E. V. Seeler & W. L. White  Chupp & Linder",,,,,,,,,,,,
"Lockhart, David",,1846,"[collector note: Trinidad ca. 1821-1846; Brazil, 1817; Congo, 1816]",114268 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/748b04a7-ca3d-44a5-9f17-2f284b39776b,David Lockhart,Lockhart,Lockh.,D. Lockhart,"Lockhart, David","Brazil, Congo, Trinidad and Tobago",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors I-L,,Search for specimens collected by D. Lockhart,[no date] (1),,,,,,,,,,,,,,,,,,
