Name,First date flourished,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Author,Geography Collector,Specialty Author,Specialty Collector,Citation as Author,Citation as Collector,Member of teams/groups,Collector Teams:,Author Teams:,Date of birth,Date of death,Author in,Holdings,Collections in,First date collected,Start Date,URL,Last date flourished,Last date collected,Citation as Determiner,End Date,Geography Determiner,Specialty Determiner
"Foster, Robin Bradford",,"[author note: F; Trop. Pl. Comm. Ecology, Floristics & Conservation [Foster provided the data on 6 Apr 2000]] [collector note: COL, DUKE, F, GH, IBE, LPB, MICH, MO, NY, PMA, QCA, QCNE, SCZ, STRI, USM, USZ [Foster provided a portion of the data on 6 Apr 2000]]",104907 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cea41b21-b35e-4215-94ff-834ce3778027,"Robin Foster; Foster, R. B.",R. B. Foster,,R. B. Foster,"Foster, Robin Bradford",United States of America,"Bolivia, Colombia, Costa Rica, Ecuador, Panama, Papua New Guinea, Peru, United States of America",Spermatophytes,Phanerogams,Annals of the Missouri Botanical Garden,"Index Herbariorum, ed. 8; Annals of the Missouri Botanical Garden",,"R. B. Foster, H. P. Brokaw & N. Brokaw  R. B. Foster, M. Chanco & J. Alban C.  H. Beltrán S., R. B. Foster & W. S. Alverson  R. B. Foster & H. Kennedy  R. B. Foster, M. Chanco, J. Alban C. & D. N. Smith  R. B. Foster, M. Chanco, D. N. Smith & J. Alban C.  R. B. Foster & T. Lowenbach  K. Romoleroux, M. S. Bass, R. B. Foster & G. Villa  S. D. Knapp, R. B. Foster, J. Mallet & M. J. Huft  R. B. Foster, A. Herre, E. Kalko & C. Handley  R. B. Foster & T. B. Croat  R. B. Foster & S. Baldeon  H. Beltrán S. & R. B. Foster  R. L. Wilbur, J. A. Teeri & R. B. Foster  R. B. Foster, B. d'Achille & A. Brack  D. N. Smith & R. B. Foster  R. B. Foster & H. Beltran S.  K. Romoleroux & R. B. Foster  R. B. Foster & T. S. Wachter  R. L. Wilbur, R. E. Weaver, R. B. Foster & M. D. Correa  R. B. Foster & Janson  H. Kennedy & R. B. Foster  B. E. Hammel, R. B. Foster & L. A. McDade  R. B. Foster et al.  R. B. Foster & D. N. Smith  J. W. Terborgh & R. B. Foster  R. Foster & B. d'Achille  J. L. Luteyn & R. B. Foster  Roberto Aguinda, Robin Foster, Margaret Metz & Terra Theim",,1945,,,Search for specimens collected by R. B. Foster,"1969 (2),  1970 (5),  1979 (1),  1982 (3),  1984 (2)",,,,,,,,,
"Freire-Fierro, Alina",,"[Author: Research: Tax. of Aciotis, Monnina; Ecuadorian Saxifragaceae s.l.; Floristics (Ecuad. Andes) [collector note: AAU, GB, MO (1st set in 2001-2005), PH (1st set in 2006-2015), QCA (1st set in 1986-89, 1992-95), QCNE (1st set in 1998-2001), SPF (1st set in 1989-1992), US, UTCEC (1st set 2017-present)] Example of Name Published: Ribes erectum Freire-Fierro in Novon 8(4): 354. 1998.",118994 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d245fdc2-c1fa-468d-b33a-9c74608a9673,"Alina Freire-Fierro; Freire, Alina; Gladys Alina Freire Fierro(s)",Freire-Fierro,Freire-Fierro,A. Freire-Fierro,"Freire-Fierro, Alina",Ecuador,"Argentina, Brazil, Chile, Ecuador, Panama, United States of America, Uruguay",Spermatophytes,Phanerogams,"pers. comm. from A. Freire-Fierro (PH, UTCEC)","Index Herbariorum, ed. 8",,"A. Freire-Fierro, J. M. Martins, R. Moraes, P. L. da Rocha, M. Rodrigues, G. Sugliano & J. P. Yvert  A. Freire-Fierro & K. Romoleroux  A. Freire-Fierro et al.",,1964,,,,,,,http://www.ansp.org/research/biodiv/botany/staff.php; http://www.neotropicos.net/,,,,,,
"Friedrichsthal, Emanuel Ritter von",,"[collector note: Central America (incl. St. Thomas; Coll. 1841): BR (1861), CN, F, G, K, W (orig.), WU; Greece (Coll. 1834-35), Macedonia, Serbia, Rumelia, Athos (coll. 1836-39): W (orig.)]",168170 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/8611a759-3166-42b2-b60b-badf419ea400,"Emanuel Ritter von Friedrichsthal; Friedrichsthal, Emanuel von",Friedrichsthal,Friedr.,E. R. Friedrichsthal,"Friedrichsthal, Emanuel Ritter von",,"Costa Rica, Greece, Guatemala, Nicaragua, North Macedonia, Panama, Yugoslavia",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors E-H,,,,1809,1842,,Search for specimens collected by E. R. Friedrichsthal,[no date] (4),,,,,,,,,
"Gallegos, Carl",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bab56003-9952-478a-ac00-8d7cbc522957,"Carl Gallegos; Gallegos, C.",,,C. Gallegos,"Gallegos, Carl",,Panama,,Spermatophytes,,,,"C. Gallegos, F. W. Woods & R. N. Mowbray",,,,,,,,1967,,,,,,,
"Gauger, G.",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/9f0a3eeb-4e5b-44f7-bae4-4a8bf3ff814e,,,,G. Gauger,"Gauger, G.",,Panama,,Spermatophytes,,,,"J. D. Dwyer, G. Gauger & R. K. Baker",,,,,,,,1967,,,,,,,
"Gentry, Alwyn Howard",,"[author note: MO: extensive collections from tropical America; Bignoniaceae] [collector note: Bignoniaceae; LL, MO; many tropical collections, particularly neo-tropics]",138245 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4afd5cf7-72eb-4894-97e4-a174679d9ce9,"Alwyn Howard Gentry; Gentry, Alwyn Howard et alia",A. H. Gentry,A. H. Gentry,A. H. Gentry,"Gentry, Alwyn Howard",United States of America,"Ecuador, Panama, Peru, United States of America, Venezuela",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8; Wrightia; a Botanical Journal. Dallas, TX",,"A. H. Gentry & H. Cuadros  A. H. Gentry & Schupp  A. H. Gentry, M. O. Dillon, P. E. Berry & J. Aronson  A. H. Gentry & J. D. Dwyer  A. H. Gentry & J. Aronson  A. H. Gentry, O. S. de Benavides, C. Samper, P. Velásquez & B. Ramírez  E. Forero & A. H. Gentry  A. H. Gentry & E. Zardini  A. H. Gentry, Henry Leon & L. Forero  A. H. Gentry & E. L. Tyson  C. H. Dodson, A. H. Gentry, B. Boyle & D. Rubio  A. H. Gentry et al.  A. H. Gentry & S. S. Tillett  A. H. Gentry, J. Revilla, D. Alfaro Castañeda & D. C. Daly  W. C. Burger & A. H. Gentry  A. H. Gentry & D. N. Smith  C. H. Dodson, A. H. Gentry & J. A. Duke  A. H. Gentry & S. A. Mori  A. H. Gentry, A. Diaz & G. Franco  A. Cogollo, H. Cuadros & A. H. Gentry  A. H. Gentry, F. Ayala & J. Revilla  A. H. Gentry, M. O. Dillon, J. Aronson & Cam. Díaz S.  R. W. Lent, W. Burger & A. H. Gentry  S. A. Mori, J. A. Kallunki & A. H. Gentry  A. H. Gentry & P. E. Berry  C. H. Dodson & A. H. Gentry  A. H. Gentry, W. A. Palacios & J. Zaruma  D. A. Neill, A. H. Gentry & S. Manning  A. H. Gentry, M. O. Dillon, J. Aronson & P. E. Berry  A. H. Gentry, C. Reynel, R. Ortiz & P. Nuñez  A. H. Gentry & F. Ayala  A. H. Gentry, Cam. Díaz S. & Ortiz  A. H. Gentry & J. F. Ramos  B. A. Stein & A. H. Gentry  A. H. Gentry & A. Clewell  W. C. Burger, G. Visconti & A. H. Gentry  J. D. Dwyer & A. H. Gentry  A. H. Gentry & J. Brand M.  G. Davise, A. H. Gentry & F. Llanos  A. H. Gentry, R. Vasquez, N. Jaramillo, E. Andrade & Stern  A. H. Gentry, D. Smith & B. Leon  A. H. Gentry, H. Leon & E. Forero  A. H. Gentry & M. E. Fallen  A. H. Gentry, M. Monsalve B., ? Ladrach & H. Mazuero  C. H. Dodson, A. H. Gentry, W. A. Palacios & J. Zaruma  A. H. Gentry & Henry León  A. H. Gentry, O. S. de Benavides & P. Keating  A. H. Gentry, M. O. Dillon, J. Aronson, Cam. Díaz S. & P. J. Barbour  A. H. Gentry, M. Mulampy, S. Libenson, M. Olson & A. Cogollo  A. H. Gentry & M. Monsalve  A. H. Gentry, S. A. Mori & J. Kallunki  W. G. D'Arcy, A. H. Gentry, Monsalve & P. A. Silverstone-Sopkin  A. H. Gentry, Cam. Díaz S., J. Aronson & N. Jaramillo  A. H. Gentry, A. Juncosa & F. Gomez  A. H. Gentry, R. L. Dressler & C. C. Berg  A. H. Gentry, M. Monsalve B., M. D. Heredia & P. Keating  A. H. Gentry, M. Monsalve B. & D. Wolfe  A. H. Gentry & A. Diaz  A. H. Gentry & Josse  A. H. Gentry, M. Monsalve B., C. Restrepo & J. Gamboa  E. Forero, A. H. Gentry, A. Sugden & D. C. Daly  A. H. Gentry & W. C. Burger  A. H. Gentry, D. Daly & S. Cruz  A. H. Gentry & E. Renteria A.  A. H. Gentry, S. T. Benavides R. & R. C. Keating  Lao & A. H. Gentry  A. H. Gentry & C. H. Dodson  A. H. Gentry, J. Revilla, Ruiz & R. Vasquez  A. H. Gentry & N. Jaramillo  A. H. Gentry, M. Monsalve B. & H. Mazuero  A. H. Gentry & E. Forero  A. H. Gentry, Cam. Díaz S. & N. Jaramillo  A. H. Gentry & B. A. Stein  C. H. Dodson, A. H. Gentry & G. Schupp  A. H. Gentry & J. C. Solomon  A. H. Gentry, C. Barbosa, E. Barrera, C. Bonifaz, H. Cuadros, L. Quinones, E. Renteria & D. Sanchez  A. H. Gentry, D. Smith, R. Vásquez & B. León  A. H. Gentry, E. Forero, M. O. Dillon, E. Renteria, L. E. Skog, M. Sousa & D. B. Lellinger  A. H. Gentry, E. Zardini, M. Monsalve B. & J. D. Caicedo  A. H. Gentry, Rod. Vasquez M. & N. Jaramillo  A. H. Gentry & J. Revilla  C. H. Dodson, A. H. Gentry & B. Boyle  A. H. Gentry, L. A. de Escobar & J. Brand M.  A. H. Gentry, D. Smith & N. Jaramillo  B. A. Stein, F. Thompson & A. H. Gentry  A. H. Gentry, G. A. Salazar Chavez & Horna  A. H. Gentry, G. N. Morillo & B. de Morillo  E. A. Lao, L. R. Holdridge & A. H. Gentry  A. H. Gentry & J. V. LaFrankie  A. H. Gentry, J. Revilla, J. Schunke V.  A. H. Gentry, L. Perez & D. Brunner  A. Gentry, J. Revilla & J. C. Ruiz M.  A. H. Gentry, A. Clewell & G. Cruz  A. H. Gentry & J. Tagi   A. H. Gentry & M. Lavin  M. Nee & A. H. Gentry  A. H. Gentry, D. Smith & R. Tredwell  G. T. Prance, A. H. Gentry & B. W. Nelson  A. H. Gentry, E. M. Zardini, R. Tredwell & R. Vásquez  A. H. Gentry, C. Díaz, & C. L. Blaney  J. D. Dwyer, A. H. Gentry & E. L. Tyson  A. H. Gentry, E. Zardini & C. Farney  A. H. Gentry & R. L. Dressler  A. H. Gentry & M. J. G. Hopkins  A. H. Gentry, G. Davidse & F.Llanos  A. H. Gentry & J. F. Maxwell  A. H. Gentry, J. V. LaFrankie & S. Appanah  A. H. Gentry, J. V. LaFrankie & L. G. Saw  A. H. Gentry, M. J. G. Hopkins & D. Davidson",,1945,1993,Field Guide Woody Pl. N. W. S. America [Gentry],Search for specimens collected by A. H. Gentry,"1946 (1),  1971 (3),  1972 (8),  1973 (24),  1974 (7),  1978 (1),  1981 (1),  1989 (1)",,,http://en.wikipedia.org/wiki/Alwyn_Howard_Gentry,,,,,,
"Gerlach, Günter",,"[author note: Syst. & Tax. Orchids, Pollination Biol., Chemotax.] [collector note: AMES, CICY, HEID, LPB, M, VEN,]",119013 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/fa6ac17d-b2e1-43f1-8955-e1b861c68f20,Günther Gerlach,G. Gerlach,G. Gerlach,G. Gerlach,"Gerlach, Günter",Germany,"Bolivia, Colombia, Costa Rica, Mexico, Panama, Venezuela",Spermatophytes,Phanerogams,"Die Orchidee 42: 280. 1991; Authors of Plant Names. Royal Botanic Gardens, Kew; pers. comm.",Die Orchidee. Hamburg-Othmarschen & Hamburg,,"M. A. Blanco, F. Pupulin, H. León-Páez & G. Gerlach  G. Gerlach, T. Neudecker & Quijada  Rod. Vásquez & G. Gerlach  G. A. Romero, C. Gómez, L. M. Campbell & G. Gerlach  G. A. Romero & G. Gerlach  L. M. Campbell, G. A. Romero González & G. Gerlach  B. K. Holst, J. R. Clark, M. A. Blanco, S. Dalström, N. Edmondson, G. Gerlach, W. E. Higgins, J. M. Heaney, J. Katzenstein, H. L. P. Montealegre & F. Pupulin",G. A. Romero & G. Gerlach,1953,,,Search for specimens collected by G. Gerlach,"[no date] (5),  1989 (4),  1990 (1)",,,,,,,,,
"Gra, Sally",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/c6aaf4af-7d98-4c48-b51d-d2ffa9a7fd9a,"Gra, S.; Sally Gra",,,S. Gra,"Gra, Sally",,Panama,,Spermatophytes,,,,H. Kennedy & S. Gra,,,,,,,,1973,,,,,,,
"Graham, Shirley Ann Tousch",,"[author note: KENT: Lythraceae] [collector note: Lythraceae; CHAPA, GOET, KE-G, MBM, MEXU, MICH]",183734 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/3c1f5db5-a2f2-4298-a4ef-7aaca195a44c,"Graham, Shirley Ann; Shirley Ann Tousch Graham",S. A. Graham,S. A. Graham,S. A. T. Graham,"Graham, Shirley Ann Tousch",United States of America,"Mexico, Panama, United States of America",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8; Systematic Botany Monographs; Monographic Series of the American Society of Plant Taxonomists",,"T. B. Cavalcanti, S. A. Graham & G. G. Pereira-Silva  S. A. Graham, H. Tobe, & P. Baas",,1935,,,Search for specimens collected by S. A. T. Graham,"1963 (4),  1964 (4)",,,,,,,,,
"Grant, Jason R.",,"[author note: Types: ALA, US Research: Bromeliaceae Address: ALA] [collector note: ALA, BM, CLM, CR, F, G, GH, K, LOJA, MARY, MO, NEU, NY, P, QCA, QCNE, S, SBG, SEL, US, VDB]",115753 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/100453c5-4f92-46ee-b791-4d8c660c2d71,Jason R. Grant,J. R. Grant,J. R. Grant,J. R. Grant,"Grant, Jason R.",United States of America,"Costa Rica, Ecuador, Panama",Spermatophytes,Phanerogams,J. Bromel. Soc. 42: 19. 1992,J. Bromel. Soc. 42: 114. 1992,,"W. H. Wagner, Jr., J. R. Grant, F. S. Wagner, A. V. Gilman, P. F. Zika, H. W. Grant & W. L. Grant  J. R. Grant & J. R. Rundell  J. R. Grant & F. Oliva-Esteve  J. R. Grant & L. Struwe  M. T. Strong & J. R. Grant  I. A. Al-Shehbaz, J. R. Grant, R. Lipkin, D. F. Murray & C. L. Parker  Weaver & J. R. Grant","M. T. Strong & J. R. Grant  Al-Shehbaz, J. R. Grant, R. Lipkin, D. F. Murray & C. L. Parker  R. Weaver & J. R. Grant",1969,,,,,,,,,,,,,
"Griffin, Harold",,"[collector note: Coclé, Panama]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/8408778a-01b2-4687-b9d6-1e313114ccc7,"Griffin, H.; Harold Griffin",,,H. Griffin,"Griffin, Harold",,Panama,,Spermatophytes,,specimen (AMES) Epidendrum guanacastense Ames & C. Schweinfurth,,H. Griffin & W. C. Cope,,,,,Search for specimens collected by H. Griffin,1951 (1),1951,,,,,,,,
"Grose, Susan Oviatt",,"Example of Name Published: Handroanthus arianeae (A. H. Gentry) S. O. Grose (2007). Research: Systematics & Evolution of Bignoniaceae [collector note: US, WTU]",189651 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a21590d3-5d7f-4e2d-a1a9-e17317eb5e57,Susan Grose Heydler (married name); Susan Oviatt Grose,S. O. Grose,S. O. Grose,S. O. Grose,"Grose, Susan Oviatt",United States of America,"Costa Rica, Dominican Republic, Guatemala, Guyana, Mexico, Nicaragua, Panama, United States of America",Spermatophytes,Phanerogams,Systematic Botany; Quarterly Journal of the American Society of Plant Taxonomists,pers. comm. from S. O. Grose,,,,1974,,,,,,,,,,,,,
"Haenke, Thaddäus(Tadeáš) Peregrinus Xaverius",,"[author note: Herbarium and types: PR; Collector note: Alaska, Guam, Nootka Sound; F]",146028 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2bf378ab-0c97-4356-ba8e-4bcf4e0d235c,Thaddaus Haenke; Thaddäus(Tadeáš) Peregrinus Xaverius Haenke,Haenke,Haenke,T. P. X. Haenke,"Haenke, Thaddäus(Tadeáš) Peregrinus Xaverius",Czech Republic,"Chile, Ecuador, Mexico, Panama, Peru, Philippines",Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors E-H,,,,1761,1817,"Gen. Pl., ed. 8[b]",Search for specimens collected by T. P. X. Haenke,"[no date] (23),  1791 (1),  1792 (1)",,,,,,,,,
"Hagsater, Eric",,"Research: Epidendrum [author note: Editor, Icones Orchidacearum; Orchidaceae] [collector note: AMES, AMO]",101309 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/eb3ba539-16f1-4a9e-b392-4814f38df7f7,"Eric Hágsater; Hagsater, Eric et alia; Hágsater, Eric Gartenberg",Hágsater,Hágsater,E. Hágsater,"Hagsater, Eric","Colombia, Costa Rica, Ecuador, Guatemala, Mexico, Panama, Peru","Colombia, Costa Rica, Ecuador, Guatemala, Mexico, Panama, Peru",Spermatophytes,Phanerogams,"Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY; Variant name from John Pacewicz","Index Herbariorum, ed. 8",,"E. Hágsater, O. Rodríguez, G. Bello Carranza & A. Kaessbohrer  R. L. Dressler, C. K. Horich & E. Hágsater  C. H. Dodson, E. Hagsater, D. Rubio & N. Revelo  C. H. Dodson, E. Hagsater, N. H. Williams, M. Whitten & F. L. Stevenson  F. López & E. Hágsater  S. Tsubota & E. Hágsater  E. Hágsater & C. K. Horich  E. Hágsater, C. H. Dodson, D. Rubio & N. Revelo  G. A. Aguirre, S. Restrepo & E. Hágsater  G. Chauvet & E. Hágsater  E. Valencia & E. Hágsater  E. Acevedo & E. Hágsater  E. Hágsater, C. H. Dodson, N. H. Williams, W. M. Whitten, A. Embree, F. L. Stevenson & R. M. Chandler  E. Hágsater & R. L. Dressler  R. L. Dressler & E. Hagsater  C. H. Dodson, E. Hagsater & D. Rubio  H. Angarita & E. Hágsater  W. Rauh & E. Hágsater  C. H. Dodson, E. Hagsater, N. H. Williams, A. Embree & F. L. Stevenson  W. Thurston, B. Thurston & E. Hágsater  E. Hágsater et al.  E. Hágsater, R. L. Dressler & J. P. Folsom  J. Portilla & E. Hágsater  R. Triay & E. Hagsater  G. C. Kennedy & E. Hágsater  E. Hagsater, C. H. Dodson & A. C. Hirtz  E. Hágsater, A. Vásquez del Mercado, S. Botello & E. Obregón  C. H. Dodson, E. Hagsater, D. Rubio & Rivera  J. L. Aguirre & E. Hágsater  E. Hágsater, C. K. Horich, R. L. Dressler, W. Thurston & B. Thurston  C. H. Dodson, N. H. Williams, E. Hagsater & M. Whitten  B. Thurston & E. Hágsater  E. Ferreira da Silva & E. Hágsater  E. Hagsater, C. H. Dodson, P. Dodson & A. C. Hirtz  E. Hágsater, P. O. Valdivieso, G. R. Schnitter & C. L. Patiño de Ruiz  V. P. Castro & E. Hágsater  J. A. González Ramírez & E. Hágsater  C. H. Dodson, E. Hagsater, N. H. Williams, F. L. Stevenson, A. Embree & M. Whitten  C. H. Dodson, E. Hagsater & A. C. Hirtz  E. Hágsater, C. H. Dodson, N. H. Williams, W. M. Whitten & F. G. Thompson  G. R. Schnitter & E. Hágsater  E. Hágsater, R. L. Dressler & C. Castro  C. K. Horich & E. Hágsater  E. Hágsater & C. H. Dodson  Hágsater & Dodson  Hágsater & R. González  Dressler & Hágsater  Hágsater & Holman  Hágsater & Dressler  Hágsater & García-Cruz  Castano, Hágsater & E. Aguirre  Hágsater & Carnevali  R. González & Hágsater  E. Hágsater & E. Santiago  E. Hágsater & Lester Lapo  E. Hágsater & C. H. Dodson  E. Hágsater & L. M. Sánchez  J. D. Ackerman & E. Hágsater  E. Hágsater & F. R. Stermitz  Carnevali & Hágsater  E. Hágsater & M. A. Díaz  L. M. Sánchez & E. Hágsater  E. Hágsater & Dickinson  C. H. Dodson, P. M. Dodson, A. C. Hirtz, X. Hirtz & E. Hágsater  C. H. Dodson & E. Hagsater  E. Hágsater & G. A. Salazar Chavez  E. Hágsater, C. C. Rincón-Useche & O. A. Pérez-Escob.  G. R. Chiron, E. Hágsater & L. M. Sánchez  E. Hágsater, R. Fernandez G. & E. Santiago  E. Hágsater, E. Santiago & C. H. Dodson  E. Hágsater, C. J. García-Cruz & L. M. Sánchez  E. Perez G. & E. Hagsater  G. A. Romero, G. Carnevali & E. Hagsater","Hágsater & Dodson  Hágsater & R. González  Dressler & Hágsater  Hágsater & Holman  Hágsater & Dressler  Hágsater & García-Cruz  Castano, Hágsater & E. Aguirre  Hágsater & Carnevali  R. González & Hágsater  Hágsater & E. Santiago  Hágsater & Dodson  Hágsater & L. Sánchez  Ackerman & Hágsater  Hágsater & Stermitz  Carnevali & Hágsater  Hágsater & M. A. Díaz  L. Sánchez & Hágsater  Hágsater & Salazar  Hágsater, C. C. Rincón-Useche & O. Pérez  G. R. Chiron, E. Hágsater & L. M. Sánchez  Hágsater, R. Fernandez G. & E. Santiago  Hágsater, E. Santiago & Dodson  Hágsater, C. J. García-Cruz & L. Sánchez  Perez-Garcia & Hagsater  G. A. Romero, Carnevali & Hagsater",,,Icon. Orchid.,Search for specimens collected by E. Hágsater,"[no date] (4),  1970 (3),  1971 (1),  1972 (3),  1973 (2),  1974 (1),  1975 (3),  1976 (6),  1977 (6),  1978 (2),  1980 (1),  1981 (4),  1982 (2),  1983 (2),  1984 (3),  1985 (2),  1986 (1),  1987 (2),  1988 (1),  1990 (1),  1998 (1),  2000 (1)",,1945,,,,,,,
"Hampshire, Rachel Jane",1992,[author note: Herbarium and types: BM] [collector note: col. with C. Whitefoord; BM],116678 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/71275b57-779e-441d-8705-7a809346f5db,Rachel Jane Hampshire,R. Hampshire,R. Hampshire,R. J. Hampshire,"Hampshire, Rachel Jane",,Panama,Spermatophytes,Phanerogams,"Novon; a Journal for Botanical Nomenclature. St. Louis, MO",Monographs in Systematic Botany from the Missouri Botanical Garden. St. Louis,,R. J. Hampshire & C. Whitefoord,,,,,,,,,,,,,,,
"Hansen, Bruce Frederick",,"[author note: Herbarium and types: USF; additional material at F, MEXU, SEL. Apocynaceae, flora of Florida] [collector note: F, MEXU, SEL, USF (orig.)]",118045 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/20badc4a-0acb-4c3d-9900-2db1a82affee,"Bruce Frederick Hansen; Hansen, B.; Hansen, B. F.; Hansen, Bruce F.",B. F. Hansen,B. F. Hansen,B. F. Hansen,"Hansen, Bruce Frederick",United States of America,"Panama, United States of America",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,"S. A. Mori, J. A. Kallunki, T. S. Cochrane, B. A. Cochrane, B. F. Hansen, R. R. Kowal & M. Nee  S. A. Mori, J. A. Kallunki & B. F. Hansen  Harry E. Luther, R. P. Wunderlin, B. F. Hansen, R. P. Sauleda, M. E. Ragen & J. H. Wiersema  R. P. Sauleda, D. K. Sauleda, M. E. Ragan & B. F. Hansen  B. F. Hansen, R. P. Wunderlin, R. P. Sauleda, L. Davenport, J. H. Wiersema, Harry E. Luther & M. E. Ragan  R. B. Huck, R. P. Wunderlin, B. F. Hansen & K. R. DeLaney  B. F. Hansen & M. Nee  R. P. Wunderlin, B. F. Hansen, R. P. Sauleda, M. E. Ragan, Harry E. Luther, L. Davenport & J. H. Wiersema  R. P. Sauleda, M. E. Ragan, H. E. Luther, R. P. Wunderlin, B. F. Hansen, L. Davenport & J. H. Wiersema  B. F. Hansen & R. P. Wunderlin  M. Nee & B. F. Hansen  M. H. Nee, B. F. Hansen & M. Phillips  R. P. Wunderlin, D. S. Correll, R. P. Sauleda & B. F. Hansen  R. P. Sauleda, Wunderlin & B. F. Hansen  R. P. Wunderlin & B. F. Hansen  R. P. Sauleda, R. P. Wunderlin, B. F. Hansen, M. E. Ragan, H. Edw. Luther, J. H. Wiersema & L. J. Davenport  M. E. Endress & B. F. Hansen  R. P. Sauleda, M. Ragan, H. Luther, R. Wunderlin, B. Hansen, L. Davenport & J. Wiersema  B. F. Hansen, J. Hansen & M. Nee","B. F. Hansen & Wunderlin  Sauleda, Wunderlin & B. F. Hansen  Wunderlin & Hansen  M. E. Endress & B. F. Hansen",1944,,,Search for specimens collected by B. F. Hansen,1975 (1),,,,,,,,,
"Harlow, James R.",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a0f71309-d5b6-4b12-8592-bea787a38a97,"Harlow, J. R.; James R. Harlow",,,J. R. Harlow,"Harlow, James R.",,Panama,,Spermatophytes,,,,,,,,,Search for specimens collected by J. R. Harlow,1945 (2),,1945,,,,,,,
"Harper, Robert Almer",,"[author note: Herbarium and types: NY, WIS] [collector note: Illinois, Maine, Nebraska, Pennsylvania]",134875 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b4e96f74-407f-4f16-be84-c58a9bf1ab9d,Robert Almer Harper,R. A. Harper,R. A. Harper,R. A. Harper,"Harper, Robert Almer",United States of America,"Canada, Panama, United States of America",Spermatophytes,Fungi,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors E-H,,"R. A. Harper, P. Wilson & A. B. Stout",,1862,1946,,Search for specimens collected by R. A. Harper,"[no date] (6),  1887 (2),  1889 (5),  1891 (2),  1892 (8),  1893 (1),  1894 (3),  1899 (1),  1903 (2),  1904 (1),  1906 (3),  1907 (1),  1909 (2),  1910 (1),  1911 (5)",,,,,,,,,
"Hawker, J. L.",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/9c17cdc0-0fd4-42c0-89bd-26bf7357916b,,,,J. L. Hawker,"Hawker, J. L.",,Panama,,Spermatophytes,,,,"W. Hepw. Lewis, W. H. Blackwell, J. L. Hawker, J. W. Nowicke, R. L. Oliver, J. E. Ridgway, A. G. M. W. A. Robyns & S. E. Verhoek-Williams  W. Hepw. Lewis, T. B. Croat & J. L. Hawker  W. H. Lewis, J. L. Hawker, R. L. Oliver, A. G. Robyns, & S. E. Verhoek",,,,,,,,1967,,,,,,,
"Hayden, S. M. V.",,"[collector note: Panama, 1967; collected with T. S. Elias; MO]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/db68acb5-2572-43ca-88f0-01239f7f1205,,,,S. M. V. Hayden,"Hayden, S. M. V.",Panama,,,Spermatophytes,,specimen (GH) Mandevilla hirsuta,,T. S. Elias & S. M. V. Hayden,,,,,,,1967,,,,,,,,
"Hernandez, H.",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b1ae6ed4-a2a4-4aae-b37c-33ecc7585fb0,,,,H. Hernandez,"Hernandez, H.",,Panama,,Spermatophytes,,,,"H. W. Churchill, A. Liese & H. Hernandez",,,,,,,,1984,,,,,,,
